URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/commercial/auckland-city/parnell/office/4102398,"Unit 1/77 The Strand, Parnell",Deadline sale closes 31st March 2026 at 2:00PM(unless sold prior),"PARNELL PERFECTION


Two-level Freehold office situated within the flexible Business - Mixed Use zone
Modern fitout complemented by the convenience of three valuable on-site car parks
Prime positioning in a vibrant and highly sought-after Parnell location
Proximity to the Parnell retail strip, popular cafés, St. George's Bay Road, Spark Arena, and the CBD

Elevate your business presence with this exceptional commercial opportunity in the heart of Parnell. This immaculately presented, two-level Freehold office is situated in a premium location and stands ready for immediate occupation.

Designed for versatility, both floors are fully self-contained with private toilet and shower facilities, offering the unique potential for dual income streams. The ground floor features a private 12m² courtyard, while the elevated first floor boasts a spacious open-plan layout and a sun-drenched, north-facing deck. This modern and adaptable configuration is perfectly suited for a wide range of businesses looking for a high-quality, professional workspace.

Secure this asset to showcase your brand today while benefitting from the property's attractive future conversion potential. Call now to arrange an inspection!

Read more",Reese Barragar : 027555 2122
https://www.barfoot.co.nz/property/commercial/auckland-city/parnell/office/4102855,"153A Parnell Road, Parnell",Auction Wednesday 1st April 2026(unless sold prior),"SERIOUS VENDOR SAYS SELL!


Rare Freehold full floor office with secure, covered parking
Exceptional opportunity for both owner-occupiers and astute investors
High-profile position on the prestigious and sought-after Parnell Road
Strategic location with proximity to the new CRL station, motorways, and transit links

153A Parnell Road offers an elevated, full-floor office spanning approximately 441m², complemented by three secure and covered car parks. Notably, the building features a bankable 70% NBS seismic rating, providing peace of mind and long-term structural confidence for occupants and lenders alike.

Situated in the tightly held and perennially popular suburb of Parnell, this property puts Auckland’s finest restaurants and cafés right at your doorstep. The convenience is unmatched, with the Parnell train station, major motorway arterials, and the Auckland CBD all just moments away.

Occupying the entire first level, the floor is currently subdivided into three distinct tenancies. A portion of the floor is secured by a four-year lease, providing immediate rental stability. The remaining 310m² (approx.) is offered with vacant possession, presenting a perfect opening for an owner-occupier to establish their business in a prime location while benefiting from a supplementary income stream. Alternatively, investors can capitalise on the vacancy to lease the remaining space and maximise the property’s attractive yield.

This is a well-appointed asset that seamlessly blends modern design and functional workspace with the security of passive income. Our serious Vendor has issued clear instructions to sell - do not miss this fantastic auction opportunity!

Read more",Reese Barragar : 027555 2122
https://www.barfoot.co.nz/property/commercial/manukau-city/east-tamaki/industrial/4101977,"Unit 4/24 Sir William Avenue, East Tamaki",Deadline sale closes 2nd April 2026 at 2:00PM(unless sold prior),"VERSATILE EAST TAMAKI INDUSTRIAL UNIT

KEY FEATURES:

Total floor area – 334m² (approximately)
Warehouse – 253m² (approximately)
Ground floor lunchroom and amenities – 40.5m² (approximately)
First floor office – 40.5m² (approximately)
Six allocated car parks

Barfoot & Thompson Commercial, in conjunction with Bayleys, are pleased to present this versatile industrial unit for sale or lease.

Presenting a rare opportunity for both investors and owner-occupiers, this 334m² (approximately) industrial unit occupies a prime position in the heart of East Tamaki’s highly sought-after industrial precinct, where quality properties are seldom available.

Located at Unit 4, 24 Sir William Avenue, the property forms part of a well-maintained five-unit complex and offers a clear-span, high-stud warehouse with excellent functionality. The warehouse is supported by a ground floor lunchroom and amenities, first floor office space, and six exclusive car parks.

Zoned Heavy Industry, the site provides exceptional operational flexibility and suits a wide range of occupiers seeking robust industrial capability. Recent upgrades include a refurbished ground-floor lunchroom and modernised first floor offices, enhancing comfort and presentation.

This versatile Heavy Industry zoned unit is available with vacant possession or subject to a new lease, providing a ready-to-occupy solution for businesses or a low-maintenance investment option with minimal capital expenditure required.

For all enquiries, please contact the listing agents.

Read more",Fergus Salmon : 021271 9420
https://www.barfoot.co.nz/property/commercial/north-shore-city/rosedale/office/4099467,"Unit B3/34 Triton Drive, Rosedale",For sale by negotiation,"34 TRITON DRIVE OFFICE INVESTMENT

Outstanding office investment with a lease commencing on 1st February 2026 to an AI technology company. The office is 270m² in size and located on Level 1 of a two-level unit title office complex.

The office is configured to suit a range of businesses with generous open-plan space, front of house reception area, large boardroom, and smaller meeting room. The office also has a generous kitchen and breakout area.

This location is convenient to the motorway via Constellation Drive or Tawa Drive. There are eight external car parks that come with the lease.

KEY ATTRIBUTES OF THIS OFFICE:

New lease with initial return of 6.0%
AI Technology tenant
270m² with existing fit-out
Eight on-grade car parks
Road front position, easy to find
Read more",Craig Watson : 027496 7660 | Max Andrews : 021629 141
https://www.barfoot.co.nz/property/commercial/north-shore-city/rosedale/retail/4103468,"Unit 9/7 Triton Drive, Rosedale",Auction Tuesday 31st March 2026(unless sold prior),"PREMIUM CORNER SHOWROOM - READY TO OCCUPY/INVEST

Positioned on a prominent north-facing corner with excellent natural light and strong road-front exposure, this modern 217m² showroom presents a rare opportunity in the heart of Rosedale. The elevated site offers an outstanding profile along busy Triton Drive, only 1.5 kilometres from the State Highway 1/State Highway 18 motorway interchange and approximately 15 kilometres to Auckland CBD.

The unit comprises 169m² of ground floor showroom space plus a 48m² mezzanine. It includes polished concrete floors, restrooms on both levels, and a 2.4 metre wide rear roller door for added functionality. Car parking is generous with 43 shared parks plus three exclusive-use spaces.

Located just 200 metres from the new $42 million Rosedale Bus Station, which will connect to the Northern Busway, the property is set to benefit from enhanced accessibility and increased foot traffic.

Built in 2006 by Northbridge Properties and designed by award-winning Herbst Architects, the complex features modern tilt-slab concrete construction. The fully occupied nine-unit development is home to established brands including Icebreaker, Città and The Gateau House.

With flexibility to accommodate showroom, medical, food and beverage, or office uses (subject to council consent), this vacant unit represents a genuine blank-canvas opportunity in a proven commercial location with strong growth fundamentals.

KEY FEATURES:

Vacant possession – move in or lease out
217m² total floor area
Ground floor - 169m²
Mezzanine - 48m²
43 shared car parks plus three exclusive parks
Rear roller door (2.4 metres wide)
Polished concrete floors
Restrooms on both levels
Excellent natural light throughout

Contact us today for further information or to arrange an inspection.

Read more",Bruce Jiao : 021818 077 | Paul Vermaak : 021283 5555
https://www.barfoot.co.nz/property/commercial/north-shore-city/wairau-valley/retail/4101156,"Unit 10/20 Link Drive, Wairau Valley",Deadline sale closes 9th April 2026 at 4:00PM(unless sold prior),"SPLIT RISK INVESTMENT – WAIRAU VALLEY

Positioned in the heart of the vibrant Wairau Park commercial precinct, this superbly located single-level retail property with a mezzanine floor presents an outstanding investment opportunity.

Situated on highly sought-after Link Drive in Wairau Valley, the property benefits from strong foot traffic and close proximity to major arterial routes and motorway interchanges. The surrounding area is home to a diverse mix of well-established and successful businesses, including Fortune 7 BBQ, Chu Long Ji Restaurant, Subway, Burger King, Hoyts Cinema, Freedom Furniture and Wang Korea Food Market.

The current tenants include popular brands The Gateau House, Mum’s Chicken and Jibbab, providing a vibrant food destination.

KEY FEATURES:

Prime Link Drive location
Four separate tenancies – excellent split-risk investment
Three tenancies fitted with commercial kitchens
Shared central dining area
Six allocated car parks
Approximately 219m² total floor area
Three established tenants currently in place

With three of the four tenancies already leased, the property provides immediate income with future upside potential. It represents an excellent opportunity for astute investors seeking diversified income streams, or for owner-occupiers looking to secure premises with holding income.

Read more",Bruce Jiao : 021818 077 | Lily Han : 021877 457
https://www.barfoot.co.nz/property/commercial/rodney-district/silverdale/retail/4102622,"Unit 2/23 Wainui Road, Silverdale",Deadline sale closes 1st April 2026 at 4:00PM(unless sold prior),"FOOD MANUFACTURING INVESTMENT 

Secure a high-profile, purpose-built food manufacturing investment in the heart of Silverdale’s thriving retail precinct. Located on busy Wainui Road, this modern industrial unit was constructed in 2013 to meet stringent building codes and food industry standards, offering both quality and long-term appeal.

The property’s clear-span design provides excellent versatility for future layout changes or divisional wall installation. Originally designed for food production, the existing infrastructure also makes it suitable for restaurants, commercial kitchens, food preparation businesses, specialty retail, or other hygiene-sensitive operations giving investors strong future-proofing.

Positioned in the rapidly growing Silverdale Retail hub, with excellent access to main arterial routes and motorway connections, this location continues to benefit from significant residential and business growth in the surrounding area.

A modern, compliant food-grade facility with a lease already in place is a rare offering in this tightly held precinct.

KEY FEATURES:

323m² modern industrial unit
Designed for food-grade use
Built-in internal floor drainage system for pristine presentation and easy wash-down
Purpose-built cool store
Air-conditioned processing and preparation areas
Rear roller door access for efficient loading and logistics
Clear-span construction allowing flexible reconfiguration
Expansive road frontage and high-profile main entrance

Contact the sole agents now for further information.

Read more",David Goodhue : 021663 633 | Bruce Jiao : 021818 077
https://www.barfoot.co.nz/property/commercial/waitakere-city/henderson/industrial/4102227,"134-136 Railside Avenue, Henderson",Deadline sale closes 9th April 2026 at 4:00PM(unless sold prior),"INDUSTRIAL INVESTMENT / OCCUPIER OPPORTUNITY

Located in the heart of the Henderson industrial precinct, this property offers a substantial Freehold landholding of 4,274m². The site comprises two tenancies with a combined floor area of approximately 1,783m² and a significant rear yard.

KEY FEATURES:

Total land area - 4,274m²
Total floor area - approximately 1,783m² across two tenancies
Yard space - approximately 1,125m² of rear yard
Zoned Business - Light Industry
Warehouse specs - four warehouse bays with a 6-metre stud height

The property provides a split-risk profile, suited for either an investor or an owner-occupier:

Tenancy A (approximately 1,031m²) - currently returning $127,872 + GST per annum net. The lease runs until July 2027, with rights of renewal through to June 2035.
Tenancy B (approximately 752m² plus 1,125m² yard) - to be delivered vacant on settlement, providing immediate utility for an owner-occupier or an opportunity to re-tenant and increase the total rent roll.

The site is situated within the established Henderson industrial area, providing convenient proximity to the Henderson retail precinct and the Henderson railway station.

Read more",Colin Stewart : 021555 642 | Lisa Bourgogne : 021248 9722
https://www.barfoot.co.nz/property/commercial/waitakere-city/henderson/retail/4102743,"Unit B/199 Lincoln Road, Henderson",Deadline sale closes 1st April 2026 at 12:00PM(unless sold prior),"SPLIT RISK INVESTMENT ON LINCOLN ROAD


Approximately 2,365m² total building area
Seven separate tenancy areas over two levels
Returning $431,288 + GST per annum
Road frontage on Lincoln Road
Only four units in the block
A Grade IEP rating
¼ share in 10,629m² of Freehold land
218 shared car parks between four properties
Genghis Khan as anchor tenant
Opportunity to increase rental in the near future
SH16 minutes away
Split risk investment

This light industrial unit title is one of four in the block. The total site area is 10,639m², and the net lettable area is approximately 2,365m² with seven different tenancies, providing a split risk investment. This opportunity could suit a long-term investor or an owner-occupier looking for a property with strong cash flow and future upside.

For all information and viewings, please make contact today.

Read more",Meir Alfassi : 021221 0155 | Nick Wilson : 027320 5333
https://www.barfoot.co.nz/property/commercial/whangarei-district/ruakaka/development-site/4101981,Ruakaka,Deadline sale closes 15th April 2026 at 4:00PM(unless sold prior),"2.19HA HEAVY INDUSTRIAL – METALLED YARD

Strategically positioned just off Marsden Point Road, this substantial 21,883m² Heavy Industrial site offers a rare opportunity to secure land in one of New Zealand’s fastest-growing port and logistics hubs.

Located minutes from Northport, the property is ideally suited to transport, logistics, storage and yard-based operators. With Northport’s ongoing expansion and the proposed rail connection linking Marsden Point to the national rail network, this precinct is set to become a key upper North Island freight gateway.

The site features approximately 16,000m² – 19,000m² of metalled hardstand, compacted to around 300mm depth and designed for heavy truck and fork hoist movements. The yard has been regularly monitored and maintained, providing confidence for immediate operational use.

With less than approximately 100 hectares of Heavy Industry zoned land in the wider Marsden Point area available for private ownership (from around 420 hectares total), opportunities of this scale are increasingly limited.

PROPERTY HIGHLIGHTS:

21,883m² Heavy Industry zoned land
Approximately 16,000m² – 19,000m² metalled yard
Compacted hardstand for heavy vehicle use
Services to site
Minutes to Northport
Easy access to Ruakaka and State Highway 1
Available immediately

Ideal for owner-occupiers, logistics operators, or investors seeking exposure to the long-term growth of the Marsden Point industrial corridor.

For further information or to arrange an inspection, contact the sole agent.

Read more",David Goodhue : 021663 633
