URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/manukau-city/papatoetoe/house/11024460,"21A Milan Road, Papatoetoe","$610 per week, available 16th March","THE BEST OF BOTH WORLDS: FULLY RENOVATED & UNBEATABLE LOCATION

***To register for viewings please click on ""book a viewing time"" on the Barfoot website, enter your contact details and you will automatically be updated when viewing time is available**

The Highlights:
- Fully Renovated: Be the first to enjoy a fresh and modern interior.
- True Privacy: A standalone house—no shared walls.
- The Garage: Single garage, plus off-street parking.
- A pet bond may be required if the landlord consents to one or more pets being kept at the property

LOCATION IS EVERYTHING
- The Commuter’s Dream: A flat, 600m walk to the Puhunui Interchange. From here, you’re connected to the Airport Link, Southern Line, and Eastern Line.
- Manukau in Minutes: Just a 5-minute train ride or a 7-minute drive to Manukau City Centre, Westfield, and the Manukau Transport Hub

Move-In Costs:
- 1 week's rent in advance: $610
- 4 weeks’ bond: $2,440
**Total Move-In Costs: $3,050**

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on the roadside and do not park on the driveway.

For more info please call/text:
Zaf - 027 839 11 29
Jason - 027 477 36 69

Read more",Zafer Isiklar : 027839 1129 | Jason Raj : 027477 3669
https://www.barfoot.co.nz/property/rental/north-shore-city/murrays-bay/house/19002338,"1 Scarboro Terrace, Murrays Bay","$995 per week, available 16th March","LOVELY FAMILY HOME IN DREAM LOCATION

If you are looking for a spacious family home in a sought after area this home could be perfect for you, and only a short walk to Mairangi Bay beach.

Downstairs, there is a double garage, 1 bedroom, a bathroom and a large rumpus room. Upstairs there are another 3 bedrooms, master with ensuite, family bathroom, kitchen, living and dining room.

This property is fully fenced, with a lovely decked area and plenty of room for the kids to run around.

Pet's negotiable.

Please book on line for an appointment to view.

4 weeks bond
1 weeks rent in advance

Read more",Georgie Hutchison : 027237 6952
https://www.barfoot.co.nz/property/rental/north-shore-city/takapuna/unit/11019075,"1/10 Park Avenue, Takapuna","$820 per week, available 15th April","Executive Living Takapuna Beach

A stylish, expansive two bedroom unit with views over the harbour including Rangitoto. This unique property offers a large, well equipped, modern kitchen with dishwasher leading through to a sunny lounge with large windows and floor to ceiling glass sliding doors off either side. Two generous double bedrooms with oodles of storage, polished wooden floors throughout.

Step down off the lounge to a private outdoor curtained courtyard for full flexibility in all weathers and a louvered roof that can be open or closed. On the seaward side is a long covered balcony, ideal for entertaining.

To add to this is the location - 300mtrs to Takapuna Beach.

The property comes with a stainless fridge and washing machine.

A covered carport is also offered and storage area for bikes or sea toys.

This is your opportunity to live in one of the most sought after areas in Auckland.

No smokers. Pets negotiable

Available from 15 April 2026 Lawns and water are included in the rent.

Move in costs: 4 weeks bond, 1 weeks rent in advance
Booking viewings ONLINE ONLY.
TO VIEW: Find the property online at https://www.barfoot.co.nz/branches/milford. Click the BOOK A VIEWING link and register yourself to attend scheduled viewings.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into one of our branches and see us in person.

Read more",Kathryn Thomas : 0278078954
https://www.barfoot.co.nz/property/rental/papakura-district/opaheke/house/11024437,"20 Greenhaven Avenue, Opaheke","$665 per week, available 16th March","Spacious Gem in Opaheke - Walk to School!

***To register for viewings please click on ""book a viewing time"" on the Barfoot website, enter your contact details and you will automatically be updated when viewing time is available***

Discover the perfect family retreat in the heart of Opaheke. This 3-bedroom home combines high-end comfort with beautiful character features and an unbeatable location

Key Features:
- Climate: Stay perfect year-round with central heating and cooling.
- Light-Filled Living: Enjoy a spacious conservatory/sunroom.
- Large covered deck, offering seamless indoor-outdoor living regardless of the weather.
- Character Interiors: Stunning polished timber floors throughout and a family bathroom featuring a full bathtub.
- Kitchen: A functional kitchen designed with plenty of cupboard space for all your storage needs.
- Security: Peace of mind with a built-in alarm system.
- Blinds: The windows feature dual blinds (blackout for sleep and solar-sheer for daytime privacy).
- Fully Fenced: A safe and secure section, perfect for peace of mind with children.
- Ample Parking: Forget street parking! This property offers plenty of off-street carparks for the whole family and guests.
- Edible Backyard: Established fruit trees including Feijoa, Lemon, Fig, and Peach, Olive, etc.
- The Ultimate Location: Just a 350-meter walk to Opaheke School. Save time and skip the school-run traffic!
- A pet bond may be required if the landlord consents to one or more pets being kept at the property.

Move-In Costs:
- 1 week's rent in advance: $665
- 4 weeks’ bond: $2,660
**Total Move-In Costs: $3,325**

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on the roadside and do not park on the driveway.

For more info please call/text:
Zaf - 027 839 11 29
Jason - 027 477 36 69

Read more",Zafer Isiklar : 027839 1129 | Jason Raj : 027477 3669
https://www.barfoot.co.nz/property/rental/rodney-district/coatesville/house/11019003,"86 Screen Road, Coatesville","$2,700 per week, available 12th March","Luxury Living in the Heart of Coatesville

Property on the Market for Sale - Periodic Tenancy only - If sold and new owner requires vacant possession, owner will offer 2 months free rent before settlement (Vacate date)

Boasting 6 bedrooms and 5 bathrooms, this expansive home is perfect for families of all sizes. With 2 lounges, a massive laundry room, and an open plan dining and entertaining area, there is plenty of space to relax and unwind.

The solid brick 591sqm home offers breath-taking rural views, providing a serene backdrop for your daily life. Four concrete 22500 litre water tanks ensure that you'll always have an ample water supply.

Located just a stone's throw away from Albany Mall, this property offers the convenience of city living with the privacy and seclusion of a rural retreat.
The triple garage provides ample parking for your vehicles.

Pets by consent
Tenants to maintain grounds
NO GRAZING
Available NOW.

Money due upon signup:
2 weeks rent in advance
4 weeks bond.


Read more",Russell White : 027572 2622
https://www.barfoot.co.nz/property/rental/rodney-district/coatesville/house/11020608,"136A Ridge Road, Coatesville","$700 per week, available 18th March","Family Home in Rural Setting - On the Market For Sale

PROPERTY ON THE MARKET FOR SALE (possible buyers viewing from time to time) However owner will offer 6 month tenancy to start to new tenants.

4 bedroom single level family home Just minutes drive from Coatesville Primary School. Open plan living. 1 bathroom with Shower over bath. Separate laundry. Deck flows off lounge area.
Large lawn space around the property plus there is a paddock however the fencing may not be 100% secure in this paddock.
Off street parking - no garage.

Available NOW

PROPERTY ON THE MARKET FOR SALE (possible buyers viewing from time to time) However owner will offer 6 month tenancy to start to new tenants

Please register to view online - Please DONT ring to ask for or book viewing times.

Money due on signup is:
2 weeks rent in advance
4 weeks bond
2 weeks rent for Pet Bond (Pet on application)

Read more",Russell White : 027572 2622
https://www.barfoot.co.nz/property/rental/rodney-district/silverdale/house/11024473,"5 Vera Court, Silverdale","$950 per week, available 16th March","Modern 4-Bedroom Family Home

Positioned in a quiet and family-friendly area, this modern and stylish home at 5 Vera Court offers comfort, space, and easy living.

Featuring four generous bedrooms and three and a half bathrooms, this property is perfect for families or professionals looking for a well-designed home with plenty of room. The sleek, modern interior is complemented by open-plan living spaces that flow seamlessly, creating a warm and inviting environment.

The home also includes a double garage and low-maintenance outdoor areas, making it ideal for busy lifestyles. Located in a safe and welcoming neighbourhood, the property is close to local amenities, schools, and transport links.

Pet-friendly and family-friendly, this home is ready for tenants who will enjoy everything it has to offer.

Owners are happy to leave the tramp, basketball hoop and home gym for your use.

Move in cost: 4 weeks rent as bond and 1 week rent in advance.

Please click on 'Book a viewing time' on our website so we can keep you up-to-date on the property. Viewings may be cancelled if there are no attendees registered or confirmed. If there is not a suitable viewing time, please still register and we will notify you of the next viewing time.

Read more",Georgie Hutchison : 027237 6952
https://www.barfoot.co.nz/property/rental/rodney-district/stanmore-bay/townhouse/11016711,"31 Mata Lane, Stanmore Bay","$670 per week, available now","Stylish Townhouses

Located in the heart of Stanmore Bay, these townhouses combine lifestyle, comfort, and practicality, making everyday living a breeze.

The ground floor living is seamlessly integrated with the stylish kitchen, and decorated in warm neutral tones. Sliding doors extend out to a private outdoor zone, perfect for a morning coffee or BBQ's with friends.

A double bedroom and guest WC is located on this level, while upstairs are two more bedrooms, including a master with ensuite, a family bathroom and a well-appointed laundry space combined with a hot water cupboard for added convenience.

Parking is located right outside your door and there is additional visitor parking in the complex.

Pets may be considered.

Rent: $670
Bond: $2,680

Read more",Gareth Morgan : 021505 349
https://www.barfoot.co.nz/property/rental/waitakere-city/ranui/house/11024465,"17 Elisa Lane, Ranui","$650 per week, available 23rd March","Fresh, Bright, and Inviting…

* Offering three good-sized bedrooms (two with built-in wardrobes), open-plan living area and modern kitchen. (fridge included)
* Large windows bathe the home in natural light and enhance the sense of space.
* A big deck offers excellent indoor-outdoor flow, great for entertaining.
* The spacious modern bathroom is complemented by two toilets.
* Parking is easy with space for two cars.
* Garden shed for storage. Fully fenced for kids and pets.

The location really couldn't be more convenient. Shops, schools and parks are all near-by. And the cul-de-sac setting means no through traffic, hence more peace and quiet!

Act quickly to secure your spot in this lovely neighborhood.
Move in costs:
Two weeks rent in advance - $1,300
Four weeks rent as bond - $2,600.00
TOTAL - $3,900.00

DO NOT GO ONTO THE PROPERTY AT ANY TIME WITHOUT AN AGENT.

VIEWINGS: You must register to view this property, so please go to the listing on our website and click ""book a viewing"". This way we can keep you up to date on the property and send you viewing times. If there is not a suitable viewing time please still register and we will notify you of the next viewing times.

BEWARE OF SCAMS! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing ID and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Swanson offers full property management services. Please give me a call to discuss your requirements on 027 839 9603 or email p.walsh@barfoot.co.nz

Read more",Caron O'Grady : 027218 3071
https://www.barfoot.co.nz/property/rental/waitakere-city/te-atatu-peninsula/house/11005909,"1/63 Taikata Road, Te Atatu Peninsula","$595 per week, available now","Stunning Standalone Townhouse in Te Atatu Peninsula

Step into style, space, and sunshine in this beautifully designed, high-quality townhouse—your new home awaits!

Why You’ll Love Living Here:
-Light-Filled & Standalone:
Enjoy all the benefits of a north-westerly aspect in this frontage, standalone unit—basking in natural light all day long.

-Modern Comforts:
Double glazing, a heat pump, and top-quality appliances ensure year-round comfort. The ultra-stylish brick facade adds head-turning street appeal.

-Spacious & Inviting:
With a generous two-level floor plan, you’ll love the open-plan kitchen, living, and dining area, seamlessly flowing out to a sun-soaked, easy-care courtyard. Perfect for entertaining or relaxing in privacy.

-Sleep Soundly:
Upstairs, discover two privately positioned bedrooms. The master suite boasts its own luxurious ensuite, while the second bedroom is served by a generous family bathroom—ideal for guests or family.

-Location Perfection:
Just a short stroll to Te Atatu Peninsula Park, local bus stops for easy city access, and a vibrant selection of shops, cafes, and restaurants. Everything you need is right at your doorstep!

-Pets Considered on Application!
We welcome your furry companions, just ask us about our pet policy.

This is the lifestyle upgrade you’ve been searching for, fresh, modern, and ready for you to call home.

Contact us today to arrange your exclusive viewing and experience the excitement of Te Atatu Peninsula living!

Total Move In Costs: $3,570.00

Important – Beware of scams:
Barfoot & Thompson will only request payment after an in-person viewing with a staff member (wearing ID and driving a sign-written vehicle). A full, branded tenancy agreement will be provided before any money is collected. If unsure, visit your local branch.

Read more",Anna Mcleod : 027535 6521
https://www.barfoot.co.nz/property/rental/waitakere-city/te-atatu-peninsula/townhouse/11022095,"62 Gunner Drive, Te Atatu Peninsula","$660 per week, available 4th April","Spacious Home in Great Location

Two level townhouse situated right in the heart of the Peninsula.

The lower level has an open plan living area including spacious kitchen with gas cooking, dishwasher and large pantry. The living area opens up to a small patio at the front of the house and the dining area opens out to the back yard. Also on this level is a spacious bedroom with external access to the back yard and a semi ensuite with shower and toilet. The single internal access garage with laundry completes the lower level.

Upstairs you will find two spacious bedrooms with built in wardrobes, a small balcony off the master bedroom and a family bathroom with shower over bath and a toilet.

Perfectly situated within a stones throw of the community hub with the soon to be opened supermarket, schools, cafes, bus routes and more.

Disclaimer - please note that the photos used in this listing are several years old so there may be some small discrepancies but the overall look of the property is still the same.

Read more",Nadine Stone : 027472 5030
